"","soundFile","trialnum","condition","sound_block_key_resp.rt","sound_block_key_resp.keys","tone_block_key_resp.rt","tone_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","pi.wav","481","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"2","tu.wav","482","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"3","bi.wav","483","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"4","bu.wav","484","S",0.242100485,"3",NA,"","bi",2,"f008","1C","auditory"
"5","pa.wav","485","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"6","da.wav","486","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"7","di.wav","487","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"8","ba.wav","488","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"9","pu.wav","489","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"10","ta.wav","490","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"11","ti.wav","491","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"12","du.wav","492","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"13","bu.wav","493","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"14","pa.wav","494","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"15","da.wav","495","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"16","pi.wav","496","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"17","tu.wav","497","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"18","bi.wav","498","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"19","di.wav","499","S",0.200369379,"3",NA,"","bi",2,"f008","1C","auditory"
"20","ba.wav","500","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"21","pu.wav","501","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"22","ta.wav","502","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"23","ti.wav","503","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"24","du.wav","504","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"25","pi.wav","505","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"26","tu.wav","506","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"27","bi.wav","507","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"28","ta.wav","508","S",0.26694015,"3",NA,"","bi",2,"f008","1C","auditory"
"29","ti.wav","509","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"30","du.wav","510","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"31","bu.wav","511","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"32","pa.wav","512","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"33","da.wav","513","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"34","di.wav","514","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"35","ba.wav","515","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"36","pu.wav","516","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"37","bu.wav","517","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"38","pa.wav","518","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"39","da.wav","519","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"40","ta.wav","520","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"41","ti.wav","521","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"42","du.wav","522","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"43","pi.wav","523","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"44","tu.wav","524","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"45","bi.wav","525","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"46","di.wav","526","S",0.166944332,"3",NA,"","bi",2,"f008","1C","auditory"
"47","ba.wav","527","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"48","pu.wav","528","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"49","bu.wav","529","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"50","pa.wav","530","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"51","da.wav","531","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"52","pi.wav","532","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"53","tu.wav","533","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"54","bi.wav","534","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"55","ta.wav","535","S",0.11701412,"3",NA,"","bi",2,"f008","1C","auditory"
"56","ti.wav","536","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"57","du.wav","537","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"58","bu.wav","538","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
"59","pa.wav","539","S",NA,"None",NA,"","bi",2,"f008","1C","auditory"
